Discount Band,Transaction_Count,Transaction Share (%),Unique_Customers,Average_Discount,Total_Quantity,Quantity Share (%),Average_Quantity,Total_Purchase_Amount,Purchase Amount Share (%),Average_Purchase_Amount,Median_Purchase_Amount,Purchase Amount per Unit,Average_Rating,Returned_Transactions,Return Rate (%),Sale_Transactions,Sale Transaction Share (%)
0%,633,6.329999999999999,581,0.0,896,6.283750613647521,1.415481832543444,3811463,5.893078283150201,6021.268562401264,3574.0,4253.864955357143,3.5118483412322274,96,15.165876777251185,0,0.0
1-5%,3062,30.620000000000005,2006,3.039190071848465,4333,30.387825233186057,1.415088177661659,19515856,30.174362750126804,6373.5649902024825,3384.5,4504.005538887607,3.4875898105813192,573,18.713259307642062,0,0.0
6-10%,2998,29.98,2006,7.913275517011341,4331,30.373799004137737,1.4446297531687793,19829352,30.65907333749298,6614.193462308205,3594.5,4578.469637497114,3.4723148765843894,529,17.6450967311541,48,1.6010673782521683
11-15%,2437,24.37,1782,12.94788674599918,3473,24.3565467424083,1.425112843660238,15506839,23.975837139493834,6363.085350841198,3402.0,4464.969478836741,3.4234714813295035,414,16.988100123102175,247,10.135412392285598
16-30%,720,7.199999999999999,644,22.545833333333334,1013,7.1042850129742625,1.4069444444444446,4883850,7.55114515690251,6783.125,3823.0,4821.174728529121,3.654166666666667,123,17.083333333333332,720,100.0
Above 30%,150,1.5,146,41.52,213,1.493793393646118,1.42,1129585,1.7465033328336705,7530.566666666667,3621.0,5303.215962441314,3.4,16,10.666666666666668,150,100.0
