Category,Transaction_Count,Transaction Share (%),Unique_Customers,Total_Quantity,Quantity Share (%),Total_Purchase_Amount,Purchase Amount Share (%),Average_Transaction_Value,Average_Quantity_Per_Transaction,Purchase Amount per Unit,Average_Rating,Returned_Transactions,Return Rate (%)
Accessories,1601,16.009999999999998,1271,2294,16.088084718423453,5405061,8.357013461288254,3376.053091817614,1.4328544659587759,2356.173060156931,3.457838850718301,162,10.118675827607746
Clothing,5004,50.03999999999999,2680,7104,49.82116557963391,21809421,33.720549107568395,4358.3974820143885,1.419664268585132,3070.019847972973,3.504996003197442,941,18.804956035171863
Footwear,3395,33.95,2143,4861,34.090749701942634,37462463,57.92243743114336,11034.59882179676,1.4318114874815906,7706.739971199342,3.4524300441826217,648,19.086892488954344
