Delivery Speed,Transaction_Count,Average_Delivery_Time,Average_Rating,Low_Rating_Transactions,High_Rating_Transactions,Returned_Transactions,Average_Shipping_Charge,Free_Shipping_Transactions,Transaction Share (%),Low Rating Share (%),High Rating Share (%),Return Rate (%),Free Shipping Share (%)
Same Day,729,0.0,3.657064471879287,47,439,123,28.82578875171468,348,9.828771740595927,6.447187928669409,60.21947873799726,16.872427983539097,47.73662551440329
Express,2167,1.4914628518689432,3.668666359021689,152,1310,356,27.569450853714812,1035,29.21666441957665,7.014305491462852,60.45223811721273,16.428241808952468,47.7618827872635
Standard,4521,4.992921919929219,3.2583499225834993,912,1818,851,27.420482194204823,2230,60.95456383982742,20.17252820172528,40.212342402123426,18.82326918823269,49.32537049325371
