Shipping Type,Transaction_Count,Average_Shipping_Charge,Average_Delivery_Time,Average_Rating,Low_Rating_Transactions,Returned_Transactions,Average_Purchase_Amount,Transaction Share (%),Low Rating Share (%),Return Rate (%)
Free Shipping,3613,0.0,3.503736507057847,3.4245779130916136,539,641,6520.7143647938,48.71241741944182,14.918350401328537,17.741489067257127
Paid Shipping,3804,53.818349106203996,3.4558359621451102,3.4106203995793902,572,689,6377.032597266036,51.28758258055818,15.036803364879075,18.112513144058887
