Shipping Charge (₹),Transaction_Count,Average_Delivery_Time,Average_Rating,Low_Rating_Transactions,Returned_Transactions,Average_Purchase_Amount,Transaction Share (%),Low Rating Share (%),Return Rate (%)
0,3613,3.503736507057847,3.4245779130916136,539,641,6520.7143647938,48.71241741944182,14.918350401328537,17.741489067257127
40,2219,3.4218116268589456,3.410094637223975,322,401,6490.665615141956,29.917756505325606,14.511041009463725,18.071203244704822
60,1050,3.533333333333333,3.4257142857142857,161,183,5624.597142857143,14.15666711608467,15.333333333333332,17.42857142857143
99,535,3.444859813084112,3.383177570093458,89,105,7382.463551401869,7.213158959147902,16.635514018691588,19.626168224299064
