Delivery Time Band,Transaction_Count,Average_Delivery_Time,Average_Rating,Low_Rating_Transactions,High_Rating_Transactions,Returned_Transactions,Transaction Share (%),Low Rating Share (%),High Rating Share (%),Return Rate (%)
0-2 Days,2896,1.1160220994475138,3.665745856353591,199,1749,479,39.04543616017258,6.871546961325967,60.39364640883977,16.540055248618785
3-5 Days,2680,3.952238805970149,3.642910447761194,210,1569,401,36.1332074962923,7.835820895522389,58.54477611940298,14.96268656716418
6-7 Days,1841,6.507876154263987,2.69853340575774,702,249,450,24.821356343535122,38.13145029875068,13.525258011950028,24.443237370994026
