Online/Offline,Unique_Customers,Customer Reach (%),Transaction_Count,Transaction Share (%),Total_Quantity,Quantity Share (%),Total_Purchase_Amount,Purchase Amount Share (%),Average_Transaction_Value,Average_Quantity_Per_Transaction,Purchase Amount per Unit,Average_Discount,Average_Rating,Returned_Transactions,Return Rate (%)
Offline,1800,54.69462169553327,2583,25.83,3685,25.84332702153026,16859372,26.067050631411238,6527.050716221448,1.4266356949283778,4575.1348710990505,9.634146341463415,3.6581494386372437,421,16.29887727448703
Online,3086,93.7708903068976,7417,74.17,10574,74.15667297846974,47817573,73.93294936858877,6447.023459619792,1.425643791290279,4522.1839417439005,8.380746932722126,3.4174194418228394,1330,17.931778347040584
