Category,Delivery Time Band,Transaction_Count,Average_Rating,Low_Rating_Transactions,Returned_Transactions,Low Rating Share (%),Return Rate (%)
Accessories,0-2 Days,452,3.6150442477876106,39,37,8.628318584070795,8.185840707964601
Accessories,3-5 Days,452,3.6305309734513274,41,38,9.070796460176991,8.4070796460177
Accessories,6-7 Days,304,2.674342105263158,124,54,40.78947368421053,17.763157894736842
Clothing,0-2 Days,1450,3.6917241379310344,98,263,6.758620689655172,18.13793103448276
Clothing,3-5 Days,1320,3.6787878787878787,98,218,7.424242424242425,16.515151515151516
Clothing,6-7 Days,958,2.733820459290188,349,235,36.430062630480165,24.53027139874739
Footwear,0-2 Days,994,3.6509054325955734,62,179,6.237424547283702,18.008048289738433
Footwear,3-5 Days,908,3.5969162995594712,71,145,7.819383259911894,15.969162995594713
Footwear,6-7 Days,579,2.6528497409326426,229,161,39.55094991364421,27.806563039723663
